"orgName","type","invoiceText","startOn","cost","currency","qty"
"Global Blue (Thailand)","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","Virtual Line Business ","2018-05-01","500.0","THB","1"
"Mind System Service Company Limited","EXTEND","BizPhone Standard ","2018-06-07","258.0645","THB","1"
"Plan for fit","EXTEND","BizPhone Standard ","2018-06-25","735.4839","THB","1"
"Direct Asia","SKU_CHANGE","Virtual Line Business - 4 Thailand - Bangkok","2018-04-24","0.0","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"Zipevent Co., Ltd.","EXTEND","BizPhone Standard ","2018-05-03","400.0","THB","1"
"DeeMoney","EXTEND","Call Recording Standard ","2018-04-24","2500.0","THB","1"
"Trial account - O shopping","REACTIVATE","Call Recording Standard ","2018-06-16","303.2258","THB","1"
"Phoenix Media","EXTEND","BizPhone Standard ","2018-05-08","200.0","THB","1"
"Mega We Care","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","1"
"Lanna Softworks Co.,Ltd","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","1"
"P&P Petshop","EXTEND","Virtual Line Professional ","2018-06-18","250.0","THB","1"
"Cloudee-Live","RENEW","Virtual Line Business ","2018-05-01","500.0","THB","1"
"CB Lockers","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"More Than a Game Cafe","EXTEND","BizPhone Standard ","2018-05-01","400.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","2"
"BIG Info co.,ltd.","EXTEND","Virtual Line Professional ","2018-06-08","314.5161","THB","1"
"Direct Asia","SKU_CHANGE","Virtual Line Business - 5 Thailand - Bangkok","2018-04-25","0.0","THB","1"
"Direct Asia","SKU_CHANGE","Virtual Line Business - 5 Thailand - Bangkok","2018-04-24","0.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-05-05","266.6667","THB","11"
"P&P Petshop","EXTEND","BizPhone Standard ","2018-06-18","400.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-05-07","250.0","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","500.0","THB","2"
"GFood Asia Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-05-27","250.0","THB","1"
"Nittsu Logistics ( Thailand ) Co., Ltd.","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"H.B. Group International Ltd.","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"Mediakeys","EXTEND","Virtual Line Professional ","2018-04-16","250.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Cloudee-Live","RENEW","Call Recording Standard ","2018-06-01","100.0","THB","1"
"Asianwise Consulting & Solutions","EXTEND","Call Recording Standard ","2018-04-13","200.0","THB","1"
"Direct Asia","PRIMARY_SKU_CHANGE","Virtual Line Business Ultimate ","2018-05-03","1403.2258","THB","1"
"Mediakeys","EXTEND","Call Recording Standard ","2018-06-16","200.0","THB","1"
"Drivehub Co.,Ltd.","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"DeeMoney","EXTEND","Wallboard Wallboard ","2018-05-24","6825.0","THB","1"
"Alliance Group (Mother Company)","EXTEND","Virtual Line Professional ","2018-05-03","250.0","THB","1"
"More Than a Game Cafe","EXTEND","Call Recording Standard ","2018-05-01","500.0","THB","1"
"Chiang Mai I.V.F. Polyclinic","EXTEND","Virtual Line Professional ","2018-05-18","250.0","THB","1"
"Soho Hospitality Co.,Ltd.","SUBSCRIBE","Wallboard Wallboard ","2018-04-10","1325.0","THB","2"
"Built Land PLC.","SKU_CHANGE","Virtual Line Business - 1 Thailand - Bangkok","2018-06-06","0.0","THB","1"
"Cloudee-Live","RENEW","Virtual Line Business ","2018-06-01","500.0","THB","1"
"Pizza Mania Co.,LTD.","EXTEND","Wallboard Wallboard ","2018-06-08","2295.9677","THB","1"
"More Than a Game Cafe","EXTEND","BizPhone Standard ","2018-06-01","400.0","THB","1"
"CB Lockers","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","300.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","32"
"WSMART","EXTEND","Virtual Line Professional ","2018-06-07","250.0","THB","12"
"Chameleon Strategies Co,.Ltd (2)","EXTEND","BizPhone Standard ","2018-06-15","154.8387","THB","1"
"BIG Info Co.,Ltd (Mobile Style)","EXTEND","Virtual Line Professional ","2018-06-08","314.5161","THB","1"
"Nittsu Logistics ( Thailand ) Co., Ltd.","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Call Recording Standard ","2018-06-01","500.0","THB","2"
